parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	0.11	1.11	2.1	45880	8.37	9.76	11.15	47997
Region HAI	-3.38	-0.86	1.7	35125	-6.49	-2.96	0.63	35062
Region SCH	-3.19	-0.5	2.12	30535	-6.38	-2.78	0.84	32603
Mowing intensity	-1.93	-0.2	1.5	21536	-1.31	1.09	3.45	24923
Grazing intensity (log.)	-1.63	0.02	1.68	23904	-1.55	0.77	3.05	25629
Productivity (log.)	-1.72	-0.35	1.06	18605	-0.26	1.59	3.44	23501
$\sigma$	4.35	5	5.84	35994	6.04	6.95	8.11	32054
Intercept	2.41	3.44	4.47	44126	7.23	8.46	9.69	44562
Region HAI	-1.54	1.15	3.81	36366	1.47	4.72	7.95	33070
Region SCH	-2.49	0.23	3.06	29112	-4.85	-1.52	1.79	30459
Mowing intensity	-1.98	-0.17	1.61	22722	-2.77	-0.67	1.48	25177
Grazing intensity (log.)	-1.74	-0.01	1.71	23608	-1.96	0.08	2.16	24961
$\Delta$ richness 1st year	0.05	0.27	0.49	38490	0.15	0.33	0.52	36587
Productivity (log.)	-3.09	-1.67	-0.19	21631	-3.34	-1.67	0	25248
$\sigma$	4.47	5.18	6.09	29624	5.46	6.29	7.34	35981
Intercept	4.82	5.01	5.2	21254	4.84	5.03	5.2	23964
Region HAI	-0.37	-0.18	0.01	28029	-0.37	-0.19	-0.01	29191
Region SCH	0.22	0.4	0.59	21193	0.2	0.39	0.57	24855
Fertilization intensity (log.)	0.15	0.23	0.31	23646	0.14	0.23	0.31	23692
$\phi$	3658.55	5311.4	8052.17	19555	3572.25	5190.01	7704.53	20982
Measurement error $\sigma$	82.18	87.71	93.72	37095	82.23	87.75	93.94	35320
$R^2$ $\Delta$ richness 1st year	0.0199923354687553	0.0717600595368458	0.160129800730749		0.056555561234638	0.152997973769696	0.268674255773607	
$R^2$ $\Delta$ richness 5th year	0.104045200630898	0.224495981643628	0.345788832564052		0.196278006562001	0.323971784970983	0.43239492428425	
$R^2$ productivity	0.24436992090739	0.402703341702103	0.518059975441185		0.243091891705267	0.40124621629371	0.516322429420155	
