parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	0	0.98	1.96	44654	8.44	9.84	11.21	43037
Region HAI	-2.56	-0.18	2.24	37226	-7.15	-3.85	-0.5	34893
Region SCH	-3.22	-0.56	2.1	25630	-6.16	-2.53	1.12	27210
Mowing intensity	-2.17	-0.45	1.28	22062	-0.81	1.54	3.92	22043
Grazing intensity (log.)	-1.97	-0.35	1.27	24479	-0.89	1.33	3.61	22372
Productivity (log.)	-0.91	0.46	1.78	19167	-1.12	0.66	2.46	21701
$\sigma$	4.39	5.05	5.87	35308	6.17	7.07	8.22	31361
Intercept	2.25	3.27	4.3	46055	7.52	8.77	10.01	42797
Region HAI	-0.26	2.28	4.8	37137	1.47	4.62	7.7	31854
Region SCH	-2.48	0.29	3.17	28036	-5.27	-1.9	1.5	26258
Mowing intensity	-2.15	-0.31	1.51	23126	-3.17	-0.98	1.24	22831
Grazing intensity (log.)	-2.05	-0.34	1.36	25523	-2.33	-0.24	1.85	23697
$\Delta$ richness 1st year	0.08	0.3	0.52	43966	0.09	0.28	0.46	34775
Productivity (log.)	-2.13	-0.68	0.75	20007	-3.57	-1.9	-0.25	21733
$\sigma$	4.64	5.34	6.21	30723	5.64	6.48	7.53	29891
Intercept	4.68	4.86	5.04	23000	4.67	4.86	5.04	19956
Region HAI	-0.28	-0.09	0.1	27426	-0.28	-0.09	0.1	25284
Region SCH	0.34	0.53	0.71	23791	0.35	0.53	0.72	21182
Fertilization intensity (log.)	0.2	0.28	0.36	25855	0.19	0.28	0.36	23222
$\phi$	4114.32	5929.69	8758.51	20466	4137.03	5977.57	8857	18287
Measurement error $\sigma$	80.5	85.78	91.67	33319	80.46	85.74	91.72	34361
$R^2$ $\Delta$ richness 1st year	0.0182163591860928	0.0654054334749396	0.147872314342619		0.0442927028767858	0.125962174520057	0.228856480609456	
$R^2$ $\Delta$ richness 5th year	0.0755935276118161	0.172749489856192	0.281243858737109		0.189450125864537	0.31417402077435	0.421789513117153	
$R^2$ productivity	0.299301467331563	0.439264784868018	0.537811129307528		0.301123954948034	0.442794881978206	0.540839068712921	
