parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	0.62	1.2	1.78	46416	4.87	5.73	6.58	42781
Region HAI	-2.9	-1.43	0.07	31396	-8.75	-6.51	-4.24	33331
Region SCH	-3.03	-1.45	0.1	26645	-8.38	-6.06	-3.77	28528
Mowing intensity	-1.09	-0.09	0.92	18519	-0.41	1.08	2.54	21294
Grazing intensity (log.)	-1.07	-0.1	0.88	18843	-1.02	0.42	1.85	21665
Productivity (log.)	-1.2	-0.36	0.48	13520	-0.92	0.24	1.41	20962
$\sigma$	2.51	2.89	3.36	32035	3.79	4.36	5.07	33720
Intercept	2.57	3.32	4.08	42612	5.96	7.01	8.05	45065
Region HAI	-0.46	1.55	3.56	28463	2.33	5.47	8.63	21754
Region SCH	-1.21	0.84	2.88	24725	-3.32	-0.2	2.94	23068
Mowing intensity	-1.23	0.08	1.42	18873	-1.81	-0.03	1.78	21703
Grazing intensity (log.)	-1.39	-0.12	1.15	20515	-1.6	0.11	1.86	20932
$\Delta$ richness 1st year	0.21	0.49	0.78	27009	0.2	0.46	0.71	23270
Productivity (log.)	-2.67	-1.64	-0.57	18613	-3.32	-1.92	-0.53	20492
$\sigma$	3.26	3.78	4.44	27427	4.55	5.25	6.13	27965
Intercept	4.81	5.01	5.19	16288	4.84	5.03	5.2	19546
Region HAI	-0.36	-0.18	0.01	23573	-0.37	-0.19	-0.01	24707
Region SCH	0.22	0.41	0.6	16797	0.2	0.39	0.57	19831
Fertilization intensity (log.)	0.15	0.23	0.31	20621	0.14	0.22	0.31	22257
$\phi$	3643.81	5329.02	7986.89	18148	3584.15	5206.71	7792.25	19132
Measurement error $\sigma$	82.21	87.79	93.99	32824	82.08	87.62	93.99	34386
$R^2$ $\Delta$ richness 1st year	0.0423283654747433	0.127400386357501	0.239753973295949		0.254796657159525	0.383299955584892	0.482616966484648	
$R^2$ $\Delta$ richness 5th year	0.193997079258074	0.329104305463304	0.447745478754122		0.269033839097752	0.39999694746888	0.500091456844352	
$R^2$ productivity	0.245912965088167	0.405897722156128	0.519581849716832		0.238177473971246	0.396359047411377	0.512628439897402	
