parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	0.57	1.13	1.7	43873	5.22	6.1	6.97	47515
Region HAI	-2.37	-0.93	0.49	33737	-9.5	-7.36	-5.21	35272
Region SCH	-3.04	-1.46	0.14	19190	-8.29	-5.93	-3.55	25800
Mowing intensity	-1.23	-0.2	0.85	16595	-0.17	1.39	2.96	21279
Grazing intensity (log.)	-1.27	-0.3	0.68	19813	-0.59	0.85	2.31	23729
Productivity (log.)	-0.73	0.17	0.97	11573	-2.12	-0.96	0.22	21615
$\sigma$	2.58	2.96	3.44	30403	3.92	4.49	5.22	32177
Intercept	2.4	3.18	3.95	44594	6.24	7.26	8.31	46647
Region HAI	0.52	2.48	4.4	32742	2.37	5.5	8.64	24241
Region SCH	-1.26	0.92	3.08	21615	-3.91	-0.8	2.34	25356
Mowing intensity	-1.37	0.03	1.43	19069	-2.11	-0.26	1.6	20820
Grazing intensity (log.)	-1.61	-0.3	1.01	22910	-1.98	-0.25	1.46	22947
$\Delta$ richness 1st year	0.23	0.51	0.79	30287	0.14	0.38	0.63	24327
Productivity (log.)	-2.03	-0.94	0.19	15264	-3.11	-1.72	-0.33	21884
$\sigma$	3.47	4	4.66	28408	4.66	5.36	6.24	34282
Intercept	4.67	4.86	5.04	16607	4.67	4.86	5.04	21596
Region HAI	-0.28	-0.09	0.1	24386	-0.28	-0.09	0.11	26177
Region SCH	0.35	0.53	0.72	19259	0.35	0.54	0.73	21412
Fertilization intensity (log.)	0.19	0.28	0.36	20424	0.19	0.28	0.36	26251
$\phi$	4079.13	5948.07	8898.77	17503	4176.99	6008.15	8956.41	20094
Measurement error $\sigma$	80.51	85.8	91.64	32550	80.42	85.73	91.62	33094
$R^2$ $\Delta$ richness 1st year	0.0312119886280091	0.100425131312339	0.197878337242378		0.2874429615903	0.411965434755284	0.506936763233376	
$R^2$ $\Delta$ richness 5th year	0.131547267232002	0.250517172006729	0.365577932260204		0.261592211366951	0.387637855749615	0.48791030923994	
$R^2$ productivity	0.297435010744462	0.441327208787993	0.539572980673036		0.300616716157409	0.440044665586837	0.537571047256092	
