parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	-4.75	-4.09	-3.51	8639	-3.04	-2.59	-2.18	8107
Height (log.)	-2.64	-0.66	1.36	11386	-3.14	-1.58	-0.1	13776
Seed mass (log.)	-1.24	0.82	2.89	11861	-1.48	0.2	1.87	14500
SLA	-4.91	-2.66	-0.49	10205	-3.98	-2.37	-0.81	12619
Low seeding density	-1.2	1.23	3.66	12382	-1.96	-0.13	1.75	15705
High seeding density	0.86	1.98	3.2	8106	1.31	2.14	2.99	8407
Productivity (log.)	-3.06	-1.87	-0.71	8101	-2.26	-1.44	-0.62	10486
Height*Productivity	-1.4	0.67	2.71	12147	0.06	1.57	3.12	14627
Seed mass*Productivity	-2.02	0.06	2.13	12905	-0.71	0.96	2.65	16245
SLA*Productivity	0.26	2.66	5.15	10412	0.81	2.51	4.26	13211
SD Grassland	1.25	1.61	2.08	7191	1.06	1.32	1.64	7410
SD Species	1.37	1.81	2.36	6027	1.08	1.36	1.72	6984
$\sigma$ Productiviy	82.21	87.66	93.78	29591	82.37	87.7	93.63	34178
