parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	-4.67	-4.02	-3.43	4022	-3.06	-2.57	-2.12	3482
Live seeding density	0.44	0.68	0.94	9175	0.68	0.88	1.08	9562
Height (log.)	-2.56	-0.9	0.75	6737	-2.25	-1.16	-0.09	6845
Seed mass (log.)	-1.5	0.24	1.96	6854	-2.44	-1.22	-0.1	6630
SLA	-3.87	-1.97	-0.28	5782	-3.87	-2.67	-1.56	5786
Productivity (log.)	-2.52	-1.31	-0.13	4984	-2.74	-1.97	-1.23	5714
Height*Productivity	-0.8	0.88	2.56	7290	-0.04	1.01	2.09	8471
Seed mass*Productivity	-1.54	0.15	1.87	7469	0.68	1.77	2.96	8509
SLA*Productivity	0.11	2.07	4.2	6108	1.86	3.08	4.41	6597
SD Grassland	1.46	1.83	2.31	3709	1.14	1.39	1.7	4667
SD Species	1.33	1.74	2.26	4343	1.33	1.62	2	5005
$\sigma$ Productiviy	80.5	85.85	91.67	19104	80.55	85.8	91.71	22005
$R_{cond}^2$	0.32	0.47	0.5	NA	0.42	0.46	0.48	NA
$R_{marg}^2$	0.02	0.2	0.38	NA	0.17	0.29	0.33	NA
