parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff	5%	50%	95%	N_eff
c_Int	-3.07	-2.59	-2.12	3224	-3.07	-2.59	-2.14	3533	-3.09	-2.6	-2.13	3258
live.seeddensity.scl	0.69	0.89	1.08	8919	0.68	0.87	1.08	9992	0.68	0.88	1.08	8118
logheight.scl	-2.31	-1.16	-0.04	5570	-2.29	-1.19	-0.11	5388	-2.26	-1.12	0	5679
logseedMass.scl	-2.63	-1.33	-0.14	5634	-2.38	-1.14	-0.01	6471	-2.72	-1.41	-0.23	5920
SLA.scl	-3.91	-2.68	-1.51	5423	-3.93	-2.68	-1.57	5579	-3.96	-2.69	-1.51	5114
log-productivity.scl	-2.74	-1.97	-1.2	5198	-2.83	-2	-1.19	4892	-2.97	-2.11	-1.28	4418
log-productivity_logheight.scl	-0.04	1.02	2.12	7170	-0.04	1.07	2.21	6570	-0.02	1.14	2.33	6475
log-productivity_logseedMass.scl	0.71	1.82	3.05	6924	0.45	1.6	2.88	7233	0.17	1.39	2.72	6378
log-productivity_SLA.scl	1.82	3.09	4.39	6208	1.83	3.14	4.56	5860	1.9	3.27	4.75	5052
log.graz.scl	-0.73	0.13	0.98	7628	NA	NA	NA	NA	-0.78	0.51	1.78	4566
log.graz.logheight.scl	-0.14	-0.01	0.13	15039	NA	NA	NA	NA	-0.25	-0.05	0.15	8990
log.graz.logseedMass.scl	-0.12	0.04	0.2	14084	NA	NA	NA	NA	-0.05	0.19	0.42	8389
log.graz.SLA.scl	-0.14	0	0.15	10694	NA	NA	NA	NA	-0.26	-0.04	0.17	5864
mow.scl	NA	NA	NA	NA	-0.71	0.1	0.92	6829	-0.77	0.48	1.72	4220
mow.logheight.scl	NA	NA	NA	NA	-0.16	-0.03	0.11	14331	-0.25	-0.06	0.13	8227
mow.logseedMass.scl	NA	NA	NA	NA	-0.09	0.06	0.21	13234	-0.03	0.19	0.41	8040
mow.SLA.scl	NA	NA	NA	NA	-0.16	-0.03	0.11	10312	-0.26	-0.06	0.14	5455
sd_plot	1.16	1.41	1.73	4906	1.16	1.41	1.73	5019	1.17	1.43	1.76	4817
sd_species	1.33	1.63	2	4816	1.33	1.62	1.99	5138	1.34	1.64	2.01	4298
sigma_bm	80.53	85.81	91.65	19653	80.43	85.86	91.69	21176	80.53	85.79	91.71	17562
