parameter	5%	50%	95%	N_eff	5%	50%	95%	N_eff	5%	50%	95%	N_eff
c_Int	-4.74	-4.06	-3.47	3694	-4.73	-4.07	-3.48	5547	-4.8	-4.11	-3.51	5817
live.seeddensity.scl	0.42	0.67	0.93	8740	0.44	0.7	0.96	11662	0.42	0.67	0.94	11340
logheight.scl	-2.81	-1.12	0.62	5785	-2.65	-0.98	0.72	8812	-3.04	-1.27	0.53	8809
logseedMass.scl	-1.68	0.09	1.85	6739	-1.58	0.17	1.93	9308	-1.61	0.24	2.02	8019
SLA.scl	-3.85	-1.94	-0.19	5346	-4.01	-2.11	-0.39	8571	-3.73	-1.77	0.03	7658
log-productivity.scl	-2.6	-1.38	-0.18	4486	-2.68	-1.42	-0.21	7120	-2.99	-1.7	-0.43	5623
log-productivity_logheight.scl	-0.81	0.93	2.61	6253	-0.81	0.93	2.67	9546	-1.1	0.69	2.5	8655
log-productivity_logseedMass.scl	-1.54	0.16	1.92	7153	-1.33	0.45	2.25	9968	-1.27	0.53	2.38	8441
log-productivity_SLA.scl	0.26	2.23	4.36	5570	0.25	2.26	4.43	8567	0.6	2.68	4.93	7183
log.graz.scl	-0.51	0.66	1.84	7831	NA	NA	NA	NA	0.07	1.83	3.64	6273
log.graz.logheight.scl	-0.08	0.11	0.29	14419	NA	NA	NA	NA	-0.05	0.22	0.49	11333
log.graz.logseedMass.scl	-0.11	0.09	0.29	14663	NA	NA	NA	NA	-0.35	-0.06	0.23	11873
log.graz.SLA.scl	-0.32	-0.12	0.08	10107	NA	NA	NA	NA	-0.59	-0.28	0.02	7654
mow.scl	NA	NA	NA	NA	-0.88	0.24	1.37	10344	-0.18	1.55	3.32	6205
mow.logheight.scl	NA	NA	NA	NA	-0.18	-0.01	0.17	20201	-0.1	0.15	0.41	11278
mow.logseedMass.scl	NA	NA	NA	NA	-0.34	-0.16	0.03	20568	-0.46	-0.2	0.07	11883
mow.SLA.scl	NA	NA	NA	NA	-0.2	-0.02	0.17	14247	-0.51	-0.22	0.06	7800
sd_plot	1.49	1.87	2.39	4046	1.49	1.87	2.37	5384	1.52	1.92	2.43	5555
sd_species	1.35	1.77	2.3	4536	1.36	1.78	2.32	4582	1.38	1.79	2.33	5050
sigma_bm	80.5	85.76	91.65	16525	80.59	85.82	91.66	22274	80.59	85.78	91.66	19880
