5%	50%	95%	N_eff	5%	50%	95%	N_eff
Intercept	2.9553279812257	3.17585293573576	3.39404415551132	2559	1.72095917461742	1.85416870754643	1.98606705416752	3448
Disturbance	-0.0105170787003182	0.0430126219451597	0.0965703502201713	3259	-0.100939457833092	-0.00150320669310095	0.0960371855745433	4774
Seeding	-0.0153501848969415	0.0378450636083948	0.0911063227647894	3098	-0.152710968518237	-0.0549260026161585	0.0431089128110347	4508
Year2	-0.250943696852263	0.0424521415711737	0.328731102684148	3243	-0.224906856448648	-0.0640296685423453	0.093941475231599	6255
Year3	-0.243889791106824	0.0395001185105545	0.332769977789935	3327	-0.17897129369423	-0.0151410001524698	0.143315056166427	6228
Year4	-0.315928773669034	-0.0237419887987052	0.268505370673616	2793	-0.232607291841749	-0.0748185023374467	0.0856586986876739	5992
Year5	-0.33591889415287	-0.0469504231668197	0.262922605270787	3003	-0.376651073332449	-0.216290771381835	-0.0579284090495919	6185
Disturbance*Seeding	0.17466592156745	0.247346832408691	0.319683153458839	2707	0.0093502666413516	0.147581125100055	0.286242790875263	4397
Disturbance*Year2	-0.0175094363620959	0.0560143972153658	0.12941371147216	4169	0.0137575194188534	0.151164104160855	0.29188993225677	6077
Disturbance*Year3	-0.0217478302658838	0.0527707071333034	0.127266728848129	4081	-0.00910956898455548	0.130677691073701	0.269129056367398	6204
Disturbance*Year4	-0.093025869087226	-0.0166129829447929	0.0602113141762725	4188	-0.0953868195893702	0.045067972394976	0.184923763249205	6146
Disturbance*Year5	-0.0304607210079636	0.0457653058810847	0.122367168553561	4068	-0.114534818740242	0.0210219342294981	0.161505306288632	6242
Seeding*Year2	-0.0673433356193384	0.00784274806066002	0.0812948184115832	4086	-0.122906680795453	0.0148680510465071	0.152335793404693	5860
Seeding*Year3	-0.0228298520211642	0.0508097669212772	0.126530297157685	3956	-0.113121779289411	0.0258437324718182	0.165980147003563	5985
Seeding*Year4	-0.00921038186291593	0.0667676573039647	0.140944382574701	4177	-0.0765051979828606	0.0626688615394089	0.200470317371663	5863
Seeding*Year5	0.0109926512589397	0.0873486345340717	0.162003315098913	3966	-0.157996104865215	-0.0204962734225308	0.117818307832574	6017
Disturbance*Seeding*Year2	-0.0573955825964093	0.041507812960255	0.141258631999637	3535	-0.207607139561785	-0.0115613057877733	0.183898770501753	5602
Disturbance*Seeding*Year3	-0.126783843745784	-0.0261572544048204	0.0726426884795322	3396	-0.217985986955595	-0.0205102437608601	0.17453499155299	5650
Disturbance*Seeding*Year4	-0.176700725778749	-0.0749186667707373	0.0293210330814521	3623	-0.201381892005052	-0.00490034892312263	0.19446112933155	5627
Disturbance*Seeding*Year5	-0.259055529703274	-0.155847618453981	-0.0515281620325835	3283	-0.175841895818538	0.0200516941876476	0.214356615045083	5831
SD Grassland	0.279821080682309	0.324958140353868	0.380905549933165	1514	0.292360844177389	0.336943793880838	0.393582036212813	2967
SD RegionYear	0.10869078371083	0.195935353839993	0.353066203196885	1276	0.0493136831044835	0.0856836465724529	0.154229173303101	4303
$\phi$					7.4	7.88	8.37	14113
$R_{cond}^2$	0.853297149127658	0.859696671543448	0.865070350120462		0.400981416958514	0.429920901306503	0.458578218867168	
$R_{marg}^2$	0.10733462903113	0.150132969851557	0.247436550280417		0.0381898495962201	0.0594959178907745	0.0933175515557578	
